Keys,Mesor,Mesor SE,Amplitude,Amplitude SE,Acrophase,Acrophase SE,RSS,MSS,F statistic,p-value
nni_counter,438.50430279867834,14.201185226560055,42.69400312007512,20.09304212666979,7.0040553103098375,1.7959694152091796,3488365.420367158,21852.600848631577,0.06577645437343006,0.9365322837081037
nni_mean,665.2437540905703,9.332729703140663,68.5709152831393,13.20008863795046,18.212860838731356,0.7351298183943442,3761234.2458965313,56409.922744724434,0.15747601720520452,0.8552967426875513
nni_min,604.6172106569556,11.947885577395967,39.943312539199134,16.886573843622596,16.55250914762899,1.6168671963012726,2646835.0132283024,19168.958884512587,0.07604329974534053,0.9270300839398831
nni_max,791.5441231038959,57.9186531566906,50.0958846198875,81.8737957493068,17.003958765903008,6.2481912091262926,42023600.59417382,30141.358090575886,0.007531107650849994,0.9924998593790846
nni_diff_mean,14.197071687548638,7.326697239640591,11.405283323881402,10.370767982936123,9.324466209496293,3.467060632122365,724110.7464647122,1558.1791025786076,0.022594445196336674,0.977682630733292
nni_diff_min,-1.737038779894619e-26,4.634468899501844e-27,1.7264173147699223e-26,6.551043314690879e-27,12.999999995654505,2.3797477601434452e-09,2.5980111142123075e-49,1.0825046309217948e-50,0.4375,0.6514002890114736
nni_diff_max,129.49226040294772,57.953976513097814,11.780927130753682,82.03380171730821,8.872304051671314,26.635651555062022,40706122.96484364,1662.4568684852125,0.0004288248510960047,0.999571275833849
hr_mean,91.4084433598321,1.0598129560929055,10.145516687803749,1.4989390325083496,6.147522496143299,0.564238695910969,72864.03927220516,1234.9540022832928,0.17796181976039577,0.838223479768442
hr_min,80.89692497494555,3.19763011392996,9.758302028439928,4.522610475274593,6.177739831645919,1.7699273597039433,178517.20768471796,1142.4535006682993,0.06719666923203867,0.9352115079770745
hr_max,100.2882286104132,2.0672238341720903,6.254821701572469,2.9210674056838313,3.751031798614843,1.7868302167686565,74263.32463806342,470.2539851206651,0.06648863174159858,0.9358697156488628
hr_std,2.798191517308016,0.7393747323084741,0.8248505171591364,1.0465340145409312,9.586715691069521,4.838083124556978,7003.793386979826,8.150489719684774,0.012219112890420939,0.9878622554073088
sdnn,27.554795783461678,11.855146487525598,16.009086978307213,16.78031997327472,9.514273110190217,3.996768320983143,1847389.8488595062,3070.132824320036,0.017449697840042615,0.9827158995721559
sdnn_index,23.272111370954878,10.384717565485694,14.632510673564484,14.699036797145796,9.49923802456123,3.8316183354705977,1427571.252130753,2564.8381782755105,0.01886476827807838,0.9813286679823833
sdann,11.404812984794534,4.331328070251341,6.369585027453318,6.130079531236351,10.069223182404542,3.670515114914574,250259.20046515795,486.11966236802664,0.0203958793338146,0.9798300940066199
rmssd,25.97941212755404,14.91482349608704,21.285758083602477,21.11193394994095,8.980183111922045,3.783042284841336,2951275.9513511215,5427.114207577266,0.019308495755360717,0.9808941118325377
sdsd,21.300528388231626,13.04708289104737,18.23484489240944,18.468112956652895,8.833149501016308,3.8616410412087805,2250232.7078768304,3982.8732243719423,0.018584819565334698,0.9816029389577052
nn50,4.163947253718104,2.9445811590923694,3.624529940514042,4.167798331304689,8.24998614025997,4.3848261972328135,112433.10390853974,157.37932952248912,0.0146974770111334,0.9854201306862835
pnn50,1.4434424742203638,1.0942073804399413,1.574126595186888,1.5487805482641985,8.3512678226192,3.7517296495726846,15907.183032553718,29.683115420737042,0.019593205866802896,0.9806153973469116
tri_index,3.8732292237039205,0.14895837186393443,1.434565891952356,0.21068075337572534,18.172777824852947,0.5608502498809402,1453.5454950328012,24.69068058960824,0.17835846698767152,0.8378966117555604
abs_ulf,116.81170166757965,98.08612768715355,176.6681683263993,138.84086794333993,9.018941994536362,2.9964114260018335,134319302.00348607,373858.86518442375,0.029225271616841547,0.9712370849712741
abs_vlf,1106.6022864372678,994.1848061699171,1936.728957643028,1407.2687208604543,8.941146169214903,2.770539744458412,14112307999.425295,44929168.5827519,0.03342871131625717,0.9671752099803645
abs_lf,2288.395217305602,2224.901168410232,4376.129560821132,3149.347414740603,8.91811836270358,2.7439266413746157,70887977675.5419,229388251.749325,0.033977223252045614,0.9666465447494247
abs_hf,2188.8774563386614,2136.693341195659,4193.2807515785435,3024.4889971698512,8.911394760251426,2.750048607420264,65333433317.697395,210619594.45720056,0.033849525878223784,0.9667695934028309
rel_ulf,7.071077558499274,1.1925690868339258,0.6892961939701642,1.6877376779559365,19.650585638691737,9.351378869208657,17476.446031461404,5.6935147204707075,0.0034207129102405602,0.9965856862432093
rel_vlf,52.17009908499759,3.470451502972773,10.036001045068213,4.912384782410683,8.70148662304674,1.8662964387382674,203595.30223509515,1206.4772868490186,0.06222153150315185,0.9398472672630697
rel_lf,24.59400824417231,2.461590808214739,6.637685117470368,3.4843692556280828,20.784386497420808,2.001487900787319,98626.67464040047,527.7487326729677,0.0561852228443303,0.9455056321290412
rel_hf,16.164815142546647,2.5653786648415866,2.7368479592388177,3.631276719402624,20.76179830148945,5.058892474681763,83912.30158199197,89.72142269547781,0.011226899042710698,0.9888418182459714
log_ulf,2.2553868823140024,0.3845508122750957,0.5139153831403291,0.5434466501081645,16.21540585893036,4.045027705281251,1941.0907537469452,3.1738619234855197,0.017168465787737463,0.9829918546757681
log_vlf,4.574996390722124,0.317537035692948,0.56415172690539,0.44866790112299115,14.52323878951875,3.043202911953631,1403.281317618027,3.8259671795303882,0.02862765639412871,0.9718160889330912
log_lf,3.7628339672421887,0.4062442637153801,0.7212893157332614,0.5744150262955412,17.582710581762782,3.0429977796864938,2296.0275581107667,6.24530688867287,0.02856051187165306,0.9718811660241428
log_hf,3.218785492900647,0.4305188918789871,0.7449320018691864,0.6084443339130213,16.40510112811585,3.123991388870011,2562.0055449392817,6.667870145038449,0.027327277515538314,0.9730772774220218
norm_lf,61.717468296910134,3.294020425334341,4.495123328639903,4.661069219711422,22.686309933808115,3.9570328076332255,142873.94156172225,242.20120870049232,0.017799695756671848,0.9823725874014936
norm_hf,38.282531702790386,3.2940204207329375,4.495123294352273,4.661068161039741,10.686309414929482,3.956286063446507,142873.94147078402,242.20120491140068,0.017799695489535736,0.9823725876634767
ratio_lf_hf,2.257643128904067,0.37262190314014393,0.7107013999146089,0.5267187856799861,1.000540872773669,2.8335639743650254,1970.7015746459117,6.066875864457536,0.03232462864817566,0.9682403043068987
total_power,5700.687086243915,5453.582540880248,10682.707577914105,7719.545852072198,8.92132117357471,2.7551960874290806,425367074344.7694,1366952688.384188,0.033742628646430094,0.9668726123179632
sd1,18.36965965829586,10.546133468515178,15.051285922935273,14.928052928087814,8.980282322765994,3.7815694600089156,1475576.58653071,2713.5506306934444,0.01930925299463484,0.9808933704246781
sd2,33.49103329484301,13.043679098451536,17.27751377088995,18.461881240246097,9.75875324883551,4.074809874703214,2229638.1698875194,3576.1995901669743,0.01684134053851776,0.9833129486310028
sd_ratio,2.8950862102404527,0.20628059398951326,0.4058393916045738,0.291634581722076,12.623241609247325,2.7465400687385797,609.6335697527456,1.9776930242632584,0.034062718631433585,0.9665641713472646
ellipse_area,11351.36096454005,10704.093080604312,20650.646172349272,15151.643196729758,8.920358890379191,2.797486947806204,1631116544503.1018,5108084834.378921,0.03288231668161874,0.9677021493716775
sampen,1.351140304192188,0.10145615786092389,0.252939331567149,0.14336151373657272,14.162730168803822,2.168552060193759,161.4209279472086,0.7690156078173205,0.05002241025849274,0.9513210960528539
dfa_alpha1,1.0600294710562077,0.03396076617196665,0.11741562269315214,0.048070065835986865,20.471311352905246,1.561047656701779,21.87770645248976,0.16514594644986233,0.07926024793728849,0.9240744905066396
dfa_alpha2,1.1057531659289754,0.032394612302894865,0.10149839229773266,0.04584929899091785,9.930060592174064,1.722732070805953,18.618138017144652,0.12342676276078225,0.06960851873558999,0.9329732003926715
